a,b,country_a,country_b,same_country,n_coop_partners,score_coop_partners,n_adversaries,score_adversaries,coop_partners,adversaries
Four Corner Hustlers,Mickey Cobras,United States,United States,True,3,3,2,2,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']","['Black Gangster Disciples Nation', 'Maniac Latin Disciples']"
'Ndrina Piromalli,Secondigliano Alliance,Italy,Italy,True,2,4,1,1,"['Clan dei Casamonica', ""Commisso 'ndrina""]","[""'Ndrina Giuliano""]"
Cheetham Hill Gang,Pit Bull Crew,United Kingdom,,,1,3,1,2,['Gooch Close Gang'],['Doddington gang']
Aryan Brotherhood,Latin Kings,United States,United States,True,2,2,1,3,"['American Mafia', 'Gambino crime family']",['Crips']
Los Metros,Milenio Cartel,Mexico,Mexico,True,1,1,2,4,['Los Zetas'],"['Gulf Cartel', 'Los Zetas']"
Los Caparrapos,Tren de Aragua,Colombia,Venezuela,False,1,1,1,4,['Cártel de Jalisco Nueva Generación'],['Clan del Golfo']
18th Street Gang,Venice Shoreline Crips,United States,United States,True,1,1,4,4,['Venice 13'],"['Culver City Boys', 'Playboys (gang)', 'Santa Monica 13', 'Venice 13']"
Redd Alert,Wolfpack Alliance,Canada,Canada,True,3,4,1,1,"['Brothers Keepers', 'Hells Angels Motorcycle Club', 'Independent Soldiers']",['United Nations (gang)']
Gulf Cartel,Los Lobos,Mexico,Ecuador,False,1,4,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Black Cobra,Rock Machine Motorcycle Club,Denmark,Canada,False,1,1,2,4,['Black Jackets'],"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Longsight Street Soldiers,Old Trafford Cripz,,,,1,4,1,1,['Gooch Close Gang'],['Longsight Crew']
Dead Man Incorporated,Nuestra Familia,United States,United States,True,1,4,1,1,['Black Guerrilla Family'],['Aryan Brotherhood']
Artistas Asesinos,Knights Templar Cartel,Mexico,Mexico,True,1,3,2,2,['Sinaloa Cartel'],"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']"
'Ndrina Giuliano,American Mafia,Italy,United States,False,1,3,1,2,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Chichesters,Shirt Tails,United States,United States,True,3,3,1,2,"['Dead Rabbits', 'Forty Thieves', 'Kerryonians']",['Bowery Boys']
Cartel del Norte del Valle,Martinez Familia Sangeros,Colombia,Puerto Rico,False,3,4,1,1,"['Cali Cartel', 'Guadalajara Cartel', 'Los Pepes']",['Cartel de Medellín']
Independent Soldiers,Manitoba Warriors,Canada,Canada,True,1,3,2,2,['Hells Angels Motorcycle Club'],"['Hells Angels Motorcycle Club', 'White Boy Posse']"
Cártel de Santa Rosa de Lima,Los Negros,Mexico,Mexico,True,1,2,2,3,['Sinaloa Cartel'],"['Cártel de Jalisco Nueva Generación', 'Los Zetas']"
Gambino crime family,Greco Mafia clan,United States,Italy,False,3,4,1,1,"['Corleonesi', 'Inzerillo Mafia clan', 'Sicilian Mafia']",['Palermo Centro Mafia family']
Bloods,Mickey Cobras,United States,United States,True,3,3,1,2,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Black Gangster Disciples Nation']
Los Talibanes,Los Viagras,Mexico,Mexico,True,2,2,1,3,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
American Mafia,Corleonesi,United States,Italy,False,4,4,1,1,"[""'Ndrangheta"", 'Camorra', 'Greco Mafia clan', 'Sicilian Mafia']",['Stidda']
La Familia Michoacana,Tren de Aragua,Mexico,Venezuela,False,2,3,2,2,"['Cártel de Jalisco Nueva Generación', 'Mara Salvatrucha']","['Fuerza Anti-Unión', 'La Unión Tepito']"
Los Lagartos,Los Lobos,Ecuador,Ecuador,True,1,1,2,4,['Cártel de Jalisco Nueva Generación'],"['Los Chone Killers', 'Los Choneros']"
Harrison Gents,Latin Kings,,United States,,1,1,4,4,['Spanish Gangster Disciples'],"['Latin Eagles', 'Maniac Latin Disciples', 'Spanish Gangster Disciples', 'Taylor Street Jousters']"
Red Devils Motorcycle Club,Satan's Choice Motorcycle Club,Sweden,Canada,False,1,3,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Crips,D.C. Blacks,United States,United States,True,1,1,2,4,['Black Guerrilla Family'],"['Aryan Brotherhood', 'Nazi Lowriders']"
'Ndrina Giuliano,Sacra Corona Unita,Italy,Italy,True,1,2,1,3,['Clan Di Lauro'],['Nuova Camorra Organizzata']
Bandidos Motorcycle Club,Dark Circle,United States,,,1,3,2,2,['Rock Machine Motorcycle Club'],"['Hells Angels Motorcycle Club', 'Rockers Motor Club']"
Almighty Black P. Stone Nation,Almighty Gaylords Nation,United States,United States,True,3,3,2,2,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']","['Almighty Insane Popes Nation', 'Maniac Latin Disciples']"
Aprea-Cuccaro clan,Clan Marfella,Italy,,,3,4,1,1,"['Clan De Luca Bossa', 'Clan Sarno', 'Secondigliano Alliance']",['Clan Lago']
Fallowfield Mandem,Pit Bull Crew,,,,1,3,2,2,['Gooch Close Gang'],"['Doddington gang', 'Longsight Crew']"
19th of April Movement,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,1,1,2,4,['Popular Liberation Army'],"['Cartel de Medellín', 'Muerte a Secuestradores']"
Aryan Brotherhood,Loners Motorcycle Club,United States,Canada,False,2,3,1,2,"['American Mafia', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Cheetham Hill Gang,Fallowfield Mandem,United Kingdom,,,1,4,1,1,['Gooch Close Gang'],['Doddington gang']
Bala na Cara,Família do Norte,Brazil,Brazil,True,1,3,1,2,['Comando Vermelho'],['Primeiro Comando da Capital']
Cárteles Unidos,Los Talibanes,Mexico,Mexico,True,1,2,1,3,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Los Choneros,Tren de Aragua,Ecuador,Venezuela,False,3,3,1,2,"[""'Ndrangheta"", 'Clan del Golfo', 'Primeiro Comando da Capital']",['Los Tiguerones']
Big Circle Gang,Mexican Mafia,China,United States,False,2,2,3,3,"['American Mafia', 'Mara Salvatrucha']","['Aryan Brotherhood', 'Bloods', 'Crips']"
Bandidos Motorcycle Club,Black Pistons Motorcycle Club,United States,Germany,False,1,4,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Almighty Insane Popes Nation,Latin Eagles,United States,United States,True,2,2,3,3,"['Imperial Gangsters', 'Simon City Royals']","['Latin Kings', 'People Nation', 'Spanish Cobras']"
Crips,Latin Eagles,United States,United States,True,1,1,2,4,['Black Gangster Disciples Nation'],"['Latin Kings', 'People Nation']"
Guadalajara Cartel,Los Negros,Mexico,Mexico,True,2,2,1,3,"['Juárez Cartel', 'Sinaloa Cartel']",['Gulf Cartel']
Black Pistons Motorcycle Club,Rock Machine Motorcycle Club,Germany,Canada,False,1,4,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Los Mexicles,Los Negros,Mexico,Mexico,True,2,4,1,1,"['Mexican Mafia', 'Sinaloa Cartel']",['Gulf Cartel']
Clan del Golfo,Los Tiguerones,Colombia,Ecuador,False,2,3,1,2,"['Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",['Tren de Aragua']
Amigos dos Amigos,Guardiões do Estado,Brazil,Brazil,True,1,2,1,3,['Bonde dos 40'],['Comando Vermelho']
Juárez Cartel,Martinez Familia Sangeros,Mexico,Puerto Rico,False,3,4,1,1,"['Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel']",['Gulf Cartel']
Hezbollah,Wagner Group,Lebanon,Russia,False,2,2,2,3,"['Hamas', 'Islamic Revolutionary Guard Corps']","['Al-Nusra Front', 'Islamic State']"
Diablos Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,2,2,1,3,"['Hells Angels Motorcycle Club', 'Sons of Silence']",['Outlaws Motorcycle Club']
Longsight Street Soldiers,Pit Bull Crew,,,,1,3,2,2,['Gooch Close Gang'],"['Doddington gang', 'Longsight Crew']"
Almighty Insane Popes Nation,Black Gangster Disciples Nation,United States,United States,True,1,2,3,3,['Simon City Royals'],"['Almighty Black P. Stone Nation', 'Latin Kings', 'People Nation']"
Artistas Asesinos,Mexican Mafia,Mexico,United States,False,2,4,1,1,"['Los Mexicles', 'Sinaloa Cartel']",['Barrio Azteca']
American Mafia,Clan Nuvoletta,United States,Italy,False,1,3,1,2,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Al-Qaeda in the Arabian Peninsula,Boko Haram,Yemen,Nigeria,False,2,4,1,1,"['Al-Qaeda in the Islamic Maghreb', 'Al-Shabaab']",['Islamic State']
Cártel de Caborca,La Familia Michoacana,Mexico,Mexico,True,3,3,2,2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']","['Cártel del Noreste', 'Gulf Cartel']"
Manitoba Warriors,Satan's Choice Motorcycle Club,Canada,Canada,True,2,4,1,1,"['Hells Angels Motorcycle Club', 'Los Bravos MC']",['Hells Angels Motorcycle Club']
Cártel de Caborca,Los Lobos,Mexico,Ecuador,False,1,4,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
10th & Oregon Crew,Genovese crime family,United States,United States,True,1,3,1,2,['Philadelphia crime family'],['Philadelphia crime family']
Black Gangster Disciples Nation,Spanish Cobras,United States,United States,True,1,1,3,4,['Latin Eagles'],"['Latin Eagles', 'Latin Kings', 'People Nation']"
Amigos dos Amigos,Primeiro Comando da Capital,Brazil,Brazil,True,1,1,2,4,['Bonde dos 40'],"['Comando Vermelho', 'Primeiro Grupo Catarinense']"
Secondigliano Alliance,Vollaro clan,Italy,Italy,True,1,1,1,4,['Clan Marfella'],['Clan Mazzarella']
Manitoba Warriors,United Nations (gang),Canada,Canada,True,1,3,2,2,['Hells Angels Motorcycle Club'],"['Hells Angels Motorcycle Club', 'Redd Alert']"
Barrio Azteca,Los Negros,United States,Mexico,False,2,2,2,3,"['Juárez Cartel', 'Los Zetas']","['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
Genovese crime family,Philadelphia Greek Mob,United States,United States,True,2,4,1,1,"['K&A Gang', 'Philadelphia crime family']",['Philadelphia crime family']
Alfieri clan,Contini clan,Italy,Italy,True,3,4,1,1,"['Cesarano clan', 'Moccia clan', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Cotroni crime family,Musitano crime family,Canada,Canada,True,3,4,1,1,"['Hells Angels Motorcycle Club', 'Siderno Group', 'West End Gang']",['Buffalo crime family']
Bloods,Ñetas,United States,Puerto Rico,False,1,1,3,4,['Latin Kings'],"['Crips', ""Dominicans Don't Play"", 'Mara Salvatrucha']"
Clan del Golfo,Latin Kings,Colombia,United States,False,1,3,1,2,['Sinaloa Cartel'],['Tren de Aragua']
Los Paisas,Popular Liberation Army,Colombia,Colombia,True,2,4,1,1,"['Los Rastrojos', 'Revolutionary Armed Forces of Colombia']",['Clan del Golfo']
Ahrar al-Sham,Al-Qaeda in the Arabian Peninsula,Syria,Yemen,False,1,1,1,4,['Al-Nusra Front'],['Islamic State']
Aryan Brotherhood,Satan's Choice Motorcycle Club,United States,Canada,False,1,3,1,2,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Alfieri clan,American Mafia,Italy,United States,False,1,3,1,2,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Norteños,Sinaloa Cartel,United States,Mexico,False,2,3,2,2,"['Crips', 'Latin Kings']","['18th Street Gang', 'Logan Heights Gang']"
Los Choneros,Los Zetas,Ecuador,Mexico,False,3,4,1,1,"[""'Ndrangheta"", 'Clan del Golfo', 'Sinaloa Cartel']",['Cártel de Jalisco Nueva Generación']
Juárez Cartel,Los Lobos,Mexico,Ecuador,False,1,4,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
18th Street Gang,Toonerville Rifa 13,United States,United States,True,1,1,4,4,['Mexican Mafia'],"['Armenian Power', 'Mara Salvatrucha', 'The Avenues', 'Vineland Boys']"
Nazi Lowriders,OVS,United States,United States,True,2,2,3,3,"['Aryan Brotherhood', 'Mexican Mafia']","['Black Guerrilla Family', 'Bloods', 'Crips']"
Buffalo crime family,Rock Machine Motorcycle Club,United States,Canada,False,1,4,1,1,['Outlaws Motorcycle Club'],['Cotroni crime family']
Los Chapitos,Los Mexicles,Mexico,Mexico,True,2,4,1,1,"['Cártel de Jalisco Nueva Generación', 'La Línea']",['Artistas Asesinos']
19th of April Movement,Los Pepes,Colombia,Colombia,True,1,1,1,4,['Cartel de Medellín'],['Cartel de Medellín']
Camorra,Clan Gionta,Italy,Italy,True,2,4,1,1,"['Corleonesi', 'Società foggiana']",['Nuova Camorra Organizzata']
Big Circle Gang,Hells Angels Motorcycle Club,China,United States,False,3,4,1,1,"[""'Ndrangheta"", 'American Mafia', 'Rizzuto crime family']",['Aryan Brotherhood']
Los Talibanes,Nueva Plaza Cartel,Mexico,Mexico,True,1,2,1,3,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
'Ndrina Giuliano,Mallardo clan,Italy,Italy,True,4,4,1,1,"['Clan Cappello', 'Clan Di Lauro', 'Clan Licciardi', 'Clan dei Casalesi']",['Clan Mazzarella']
Los Lobos,Tijuana Cartel,Ecuador,Mexico,False,1,4,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Clan Licciardi,Rinaldi clan,Italy,Italy,True,3,4,1,1,"[""'Ndrina Giuliano"", 'Contini clan', 'Secondigliano Alliance']",['Clan Mazzarella']
Red Devils Motorcycle Club,Sons of Silence,Sweden,United States,False,1,3,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Beltrán-Leyva Organization,Yakuza,Mexico,Japan,False,3,4,1,1,"['Cártel de Jalisco Nueva Generación', 'Los Viagras', 'Sinaloa Cartel']",['Cárteles Unidos']
Almighty Black P. Stone Nation,Almighty Saints,United States,United States,True,1,1,3,4,['Latin Kings'],"['Black Gangster Disciples Nation', 'La Raza Nation', 'Maniac Latin Disciples']"
Luppino crime family,Outlaws Motorcycle Club,Canada,United States,False,1,4,1,1,['Buffalo crime family'],['Hells Angels Motorcycle Club']
Almighty Black P. Stone Nation,Nuestra Familia,United States,United States,True,3,3,1,2,"['Black Guerrilla Family', 'Bloods', 'Latin Kings']",['Aryan Brotherhood']
Los Negros,Tren de Aragua,Mexico,Venezuela,False,1,2,2,3,['Mara Salvatrucha'],"['18th Street Gang', 'Sinaloa Cartel']"
Cheetham Hill Gang,Longsight Street Soldiers,United Kingdom,,,1,4,1,1,['Gooch Close Gang'],['Doddington gang']
Cali Cartel,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,3,1,2,"['Sinaloa Cartel', 'Tijuana Cartel']",['Cartel de Medellín']
Cártel de Santa Rosa de Lima,Mexican Mafia,Mexico,United States,False,2,4,1,1,"['Gulf Cartel', 'Sinaloa Cartel']",['Los Zetas']
Iron Horsemen Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,1,1,4,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Barrio Azteca,Los Chapitos,United States,Mexico,False,2,4,1,1,"['Juárez Cartel', 'La Línea']",['Artistas Asesinos']
Bandidos Motorcycle Club,Galloping Goose Motorcycle Club,United States,United States,True,1,1,2,3,['Hells Angels Motorcycle Club'],"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']"
Annihilators Motorcycle Club,Bandidos Motorcycle Club,Canada,United States,False,2,3,1,1,"['Loners Motorcycle Club', 'Outlaws Motorcycle Club']",['Hells Angels Motorcycle Club']
Gangster Two Six,Latin Kings,,United States,,1,1,3,3,['Spanish Gangster Disciples'],"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts']"
Clan D'Alessandro,Clan dei Casalesi,Italy,Italy,True,3,3,1,1,"[""'Ndrina Bellocco"", ""'Ndrina Pesce"", 'Nuova Famiglia']",['Alfieri clan']
'Ndrina Albanese,'Ndrina Gullace,Italy,,,1,1,1,3,"[""'Ndrina Piromalli""]","[""'Ndrina Facchineri""]"
Fuerza Anti-Unión,Los Tiguerones,Mexico,Ecuador,False,1,2,1,2,['Cártel de Jalisco Nueva Generación'],['Tren de Aragua']
Buffalo crime family,Independent Soldiers,United States,Canada,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Musitano crime family']
Almighty Gaylords Nation,Four Corner Hustlers,United States,United States,True,3,3,1,1,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",['Maniac Latin Disciples']
Juárez Cartel,Norteños,Mexico,United States,False,1,1,1,3,['18th Street Gang'],['Mara Salvatrucha']
Contini clan,Sacra Corona Unita,Italy,Italy,True,1,3,1,1,['Clan Di Lauro'],['Nuova Camorra Organizzata']
Aryan Brotherhood,Manitoba Warriors,United States,Canada,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Mara Salvatrucha,Nuestra Familia,United States,United States,True,1,1,2,3,['Cártel de Jalisco Nueva Generación'],"['Mexican Mafia', 'Nazi Lowriders']"
Crips,Los Zetas,United States,Mexico,False,1,1,3,3,['Sinaloa Cartel'],"['18th Street Gang', 'Mara Salvatrucha', 'Mexican Mafia']"
Clan De Luca Bossa,Vollaro clan,Italy,Italy,True,1,1,1,3,['Clan Marfella'],['Clan Mazzarella']
Black Pistons Motorcycle Club,Satan's Choice Motorcycle Club,Germany,Canada,False,1,3,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Fabbrocino,Sicilian Mafia,Italy,Italy,True,2,2,1,2,"[""'Ndrangheta"", 'Nuova Famiglia']",['Nuova Camorra Organizzata']
Guerreros Unidos,Logan Heights Gang,Mexico,United States,False,1,1,2,3,['Tijuana Cartel'],"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']"
Maniac Latin Disciples,Tiny Rascal Gang,United States,United States,True,1,1,1,3,['Black Gangster Disciples Nation'],['Latin Kings']
Loners Motorcycle Club,Red Devils Motorcycle Club,Canada,Sweden,False,1,2,1,2,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Genovese crime family,Velentzas Organization,United States,United States,True,1,2,1,2,['Lucchese crime family'],['Gambino crime family']
Almighty Black P. Stone Nation,Native Mob,United States,United States,True,3,3,1,1,"['Almighty Vice Lord Nation', 'Bloods', 'People Nation']",['Black Gangster Disciples Nation']
Elm Street Piru,Lueders Park Piru,United States,United States,True,1,1,2,3,['Mob Piru'],"['Kelly Park Compton Crips', 'South Side Compton Crips']"
Latin Kings,Pirus,United States,United States,True,1,1,1,3,['Bloods'],['Crips']
Dhak-Duhre group,Hells Angels Motorcycle Club,,United States,,1,2,2,2,['United Nations (gang)'],"['Alkhalil family', 'Independent Soldiers']"
Harakat Hezbollah al-Nujaba,Liwa Fatemiyoun,,,,1,1,3,3,['Houthis'],"['Ahrar al-Sham', 'Al-Nusra Front', 'Islamic State']"
Boko Haram,Taliban,Nigeria,Afghanistan,False,3,3,1,1,"['Al-Qaeda', 'Al-Shabaab', 'Islamic State']",['Islamic State']
Gangster Two Six,Satan Disciples,,,,1,1,3,3,['Spanish Gangster Disciples'],"['Almighty Insane Popes Nation', 'Almighty Saints', 'Latin Counts']"
Los Mazatlecos,Milenio Cartel,Mexico,Mexico,True,1,3,1,1,['Los Zetas'],['Gulf Cartel']
Artistas Asesinos,Cártel de Santa Rosa de Lima,Mexico,Mexico,True,1,3,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Los Mexicles,Milenio Cartel,Mexico,Mexico,True,1,3,1,1,['Sinaloa Cartel'],['Gulf Cartel']
Grupo Flechas,Gulf Cartel,Mexico,Mexico,True,2,2,1,2,"['Cártel de Santa Rosa de Lima', 'Los Zetas']",['Cártel de Jalisco Nueva Generación']
Bandidos Motorcycle Club,Cotroni crime family,United States,Canada,False,1,1,1,3,['Hells Angels Motorcycle Club'],['Rock Machine Motorcycle Club']
Clan Russo dei Quartieri Spagnoli,Clan Sarno,Italy,Italy,True,2,3,1,1,"['Clan Mazzarella', 'Clan Misso']",['Clan Fabbrocino']
Comando Classe A,Massa Carcerária,Brazil,Brazil,True,1,2,1,2,['Primeiro Comando da Capital'],['Comando Vermelho']
Pagan's Motorcycle Club,Warlocks MC,United States,,,1,1,2,3,['Philadelphia crime family'],"['Breed Motorcycle Club', 'Outlaws Motorcycle Club']"
Mexican Mafia,Pagan's Motorcycle Club,United States,United States,True,3,3,1,1,"['American Mafia', 'Gambino crime family', 'Mongols MC']",['Hells Angels Motorcycle Club']
Artistas Asesinos,Los Choneros,Mexico,Ecuador,False,1,3,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Original Red Devils Motorcycle Club,Sons of Silence,Canada,United States,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Bloods,Hells Angels Motorcycle Club,United States,United States,True,2,3,1,1,"['American Mafia', 'Gambino crime family']",['Mexican Mafia']
Old Trafford Cripz,Pit Bull Crew,,,,1,3,1,1,['Gooch Close Gang'],['Longsight Crew']
Los Zetas,Zetas Vieja Escuela,Mexico,Mexico,True,1,1,2,3,['Gulf Cartel'],"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Mara Salvatrucha,Menace of Destruction,United States,United States,True,2,3,1,1,"['Big Circle Gang', 'La Familia Michoacana']",['Tiny Rascal Gang']
Manitoba Warriors,Sons of Silence,Canada,United States,False,1,3,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Cártel de Caborca,Los Ciclones,Mexico,Mexico,True,1,1,2,3,['Cártel de Jalisco Nueva Generación'],"['Cártel del Noreste', 'Sinaloa Cartel']"
Armenian Power,Los Negros,United States,Mexico,False,1,2,2,2,['Mexican Mafia'],"['18th Street Gang', 'Mara Salvatrucha']"
Bandidos Motorcycle Club,Breed Motorcycle Club,United States,United States,True,1,2,1,2,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan del Golfo,Fuerza Anti-Unión,Colombia,Mexico,False,1,2,1,2,['Cártel de Jalisco Nueva Generación'],['Tren de Aragua']
Clan Galasso di Poggiomarino,Contini clan,Italy,Italy,True,3,3,1,1,"['Cesarano clan', 'Moccia clan', 'Nuova Famiglia']",['Nuova Camorra Organizzata']
